KIND;OPR;STAT;AREA;CITY ;CB  ;LAC; CID ; GSM ; DCS;3G L; 3G C;  3G S   ;U-L; U900 ;U-S ;  DATE  ; ADDR                ; REM                               ;  OZIN     ;  OZIE  ;LOCK

/;Гродно

$;4;R  ;GRO; Слоним              ;;;;;; 232 ; 404832 ; 123; 232 ;404832;   7 :10;29.06.18 ; Маяковского, 5        ; РУЭС, мачта МТС                                      ; 53.096348; 25.320214;G
$;4;R  ;GRO; Слоним             ;v;;;;; 232 ; 404832 ;:51:52:53;;      ;        ;01.02.20 ; Маяковского, 5        ; РУЭС, мачта МТС                                      ; 53.096348; 25.320214;G
$;4;R  ;GRO; Головачи                ;; 238 ; 404841 ;:21:22:23;;;;  ;;;        ;18.02.24 ; Гродненский р-н       ; башня 70м                                            ; 53.641203; 24.260774;G
$;4;R  ;GRO; Б.Карныши               ;; 236 ; 404845 ;:21      ;;;;  ;;;        ;03.01.24 ; Новогрудский р-н      ; башня 70м                                            ; 53.670030; 25.816435;G
$;4;R  ;GRO; Скирстины               ;; 235 ; 404857 ;      :23;;;;  ;;;        ;27.04.24 ; Ошмянский р-н         ; башня МТС 70м                                        ; 54.549857; 25.998451;G
$;4;R  ;GRO; Лида                ;;;;;; 237 ; 404862 ; 123; 237 ;404862;56789:10;24.02.17 ; Летная, 4             ; ТЦ "Потсдам", мачта МТС                              ; 53.878870; 25.329859;G
$;4;R  ;GRO; Лида               ;v;;;;; 237 ; 404862 ;:51:52:53;;      ;        ;11.01.20 ; Летная, 4             ; ТЦ "Потсдам", мачта МТС                              ; 53.878870; 25.329859;G
$;4;R  ;GRO; Мосты               ;;;;;; 231 ; 404863 ; 123;     ;      ;        ;08.05.18 ; Занеманская, 53       ; тароремонтное предприятие, опорная мачта МТС         ; 53.409517; 24.526082;G
$;4;R  ;GRO; Мосты              ;v;;;;; 231 ; 404863 ;:51:52:53;;      ;        ;01.02.20 ; Занеманская, 53       ; тароремонтное предприятие, опорная мачта МТС         ; 53.409517; 24.526082;G
$;4;R  ;GRO; Лида                ;;;;;; 237 ; 404864 ; 123; 237 ;404864;56789:10;24.02.17 ; Чапаева, 3            ; АТС, автовокзал, трипод МТС                          ; 53.884775; 25.295768;G
$;4;R  ;GRO; Лида               ;v;;;;; 237 ; 404864 ;:51:52:53;;      ;        ;11.01.20 ; Чапаева, 3            ; АТС, автовокзал, трипод МТС                          ; 53.884775; 25.295768;G
$;4;R  ;GRO; Мосты               ;;;;;; 231 ; 404867 ; 123;     ;      ;        ;01.08.18 ; 30 лет ВЛКСМ, 165     ; цех меб.производства "Байдимэкс", мачта МТС          ; 53.426080; 24.536870;G
$;4;R  ;GRO; Мосты              ;v;;;;; 231 ; 404867 ;:51:52:53;;      ;        ;01.02.20 ; 30 лет ВЛКСМ, 165     ; цех меб.производства "Байдимэкс", мачта МТС          ; 53.426080; 24.536870;G
$;4;R  ;GRO; Щучин               ;;;;;; 231 ; 404869 ; 123; 231 ;404869;56789:10;26.06.18 ; Мичурина, 22          ; ЦРБ, мачта МТС                                       ; 53.602457; 24.729345;G
$;4;R  ;GRO; Щучин              ;v;;;;; 231 ; 404869 ;:51:52:53;;      ;        ;08.01.22 ; Мичурина, 22          ; ЦРБ, мачта МТС                                       ; 53.602457; 24.729345;G
$;4;R  ;GRO; Рытань                  ;; 235 ; 404874 ;:21:22:23;;;;  ;;;        ;26.04.24 ; Островецкий р-н       ; башня МТС 70м                                        ; 54.844119; 25.962388;G
