KIND;OPR;STAT;AREA;CITY          ; CB           ;LAC ; CID  ;GSM ;DCS ;3G L ; 3G C ;  3G S   ;U-L; U900 ;U-S ; DATE    ; ADDR                  ; REM                                                  ;  OZIN    ;  OZIE    ;LOCK
$;M;R  ;MIO; Ерхі                ; ERHI         ;202;  390 ;123 ;    ;     ;      ;         ;202; 6363 ;6   ;06.07.08; Вілейскі р-н          ; Р58, супольная вежа 70м                                  ; 54.566320; 27.209980;G
$;M;R  ;MIO; Куляшы              ; KULESHI      ;202;  391 ;123 ;    ;     ;      ;         ;202; 6363 ;35  ;06.07.08; Вілейскі р-н          ; P58, супольная вежа 70м                                  ; 54.609790; 27.166630;G
$;M;R  ;MIO; Княгінін            ; KNIAGININO   ;202;  392 ;1237;    ;     ;      ;         ;202; 6363 ;12  ;06.07.08; Мядзелскі р-н         ; супольная вежа 70м                                       ; 54.695770; 27.165750;G
$;M;R  ;MIO; Княгінін            ;              ;   ;  392 ;    ;    ;     ;      ;         ;202; 1271 ;0   ;10.03.18; Мядзелскі р-н         ; супольная вежа 70м                                       ; 54.695770; 27.165750;G
$;M;R  ;MIO; Мацкі               ; MATSKI       ;202;  393 ;123 ;    ;     ;      ;         ;202; 6362 ;9   ;06.07.08; Мядзелскі р-н         ; P58, супольная вежа 70м                                  ; 54.769820; 27.086210;G
$;M;R  ;MIO; Мацкі               ;              ;   ;  393 ;    ;    ;     ;      ;         ;202; 1165 ;9   ;12.08.18; Мядзелскі р-н         ; P58, супольная вежа 70м                                  ; 54.769820; 27.086210;G
$;M;R  ;MIO; Брусы               ; BRUSY        ;202;  394 ;123 ;    ;     ;      ;         ;   ;      ;    ;03.01.07; Мядзелскі р-н         ; супольная вежа 70м                                       ; 54.765350; 26.967230;G
$;M;R  ;MIO; Шыкавічы            ; SHIKOVICHI   ;202;  395 ;123 ;    ; 202 ; 1959 ;    56   ;   ;      ;    ;03.01.07; Мядзелскі р-н         ; P58, супольная вежа 70м                                  ; 54.836810; 26.941960;G
$;M;R  ;MIO; Лашаны              ; LOSHANY      ;216;  396 ;123 ;4568; 216 ; 1964 ;123456789;216;  902 ;1   ;07.07.08; Менскі р-н            ; Р28, вежа 70м                                       ; 54.050082; 27.297384;G
$;M;R  ;MIO; Лашаны              ;              ;   ;  396 ;    ;    ; 216 ; 1965 ;1  4  7  ;216; 1259 ;12  ;05.06.16; Менскі р-н            ; Р28, вежа 70м                                       ; 54.050082; 27.297384;G
