KIND;OPR;STAT;AREA;CITY          ; CB          ; LAC ; CID ;GSM ;DCS ;3G L ; 3G C ;  3G S   ;U-L; U900 ;U-S ;  DATE   ; ADDR                  ; REM                                                  ;  OZIN     ;  OZIE  ;LOCK
$;V;R  ;MIO; Плешчаніцы          ; PLESCHENICY ; 116 ;  56 ;123 ; 5  ; 116 ; 3789 ;123456789;116; 5056 ;123 ;08.08.05; Лагойскі р-н         ; РТПС                                                 ; 54.410161; 27.855078;G
$;V;R  ;MIO; Плешчаніцы          ;             ;     ;  56 ;    ;    ; 116 ; 4789 ;123      ;116; 5056 ; 5  ;25.03.21; Лагойскі р-н         ; РТПС                                                 ; 54.410161; 27.855078;G
$;V;R  ;MIO; Чудзенічы           ; CHUDENICHI  ; 116 ;  57 ;1234;57  ; 116 ; 3814 ;123456789;116; 5057 ;1234;08.08.05; Лагойскі р-н         ; М3, РТПС                                             ; 54.143448; 27.793307;G
$;V;R  ;MIO; Чудзенічы           ;             ;     ;  57 ;    ;    ; 116 ; 4814 ;123      ;116; 5057 ;5   ;08.07.19; Лагойскі р-н         ; М3, РТПС                                             ; 54.143448; 27.793307;G
$;V;R  ;MIO; Дзяржынск           ; DZERZHINSK  ; 111 ;  58 ;1237;    ; 111 ; 3596 ;123456789;111; 1058 ;123 ;30.03.08; Савецкая 5           ; Дом Побыту, мачта                                    ; 53.6868  ; 27.1321  ;G
$;V;R  ;MIO; Дзяржынск           ;             ;     ;  58 ;    ;    ; 111 ; 1058 ;   4     ;   ;      ;    ;23.11.22; Савецкая 5           ; Дом Побыту, мачта                                    ; 53.6868  ; 27.1321  ;G
$;V;R  ;MIO; Дзяржынск           ;             ;     ;  58 ;    ;    ; 111 ; 4596 ;1234567  ;111; 1058 ; 6  ;23.11.19; Савецкая 5           ; Дом Побыту, мачта                                    ; 53.6868  ; 27.1321  ;G
$;V;R  ;MIO; Клецк               ; KLETSK      ; 117 ;  59 ;123 ;4 6 ; 117 ; 3793 ;1 34 6   ;117; 5059 ;  3 ;01.07.15; Прывакзальная 6      ; ААТ "Клецкі масларобны камбінат", труба              ; 53.070750; 26.659960;*
$;V;R  ;MIO; Хатынь              ; HATYN'      ; 116 ;  60 ;12  ;    ; 116 ; 3987 ;12 45    ;116; 5060 ;12  ;02.08.05; Лагойскі р-н         ; экскурсійнае бюро, мачта 25,5м                       ; 54.333522; 27.939540;G
$;V;R  ;MIO; Старыя Дарогі       ;STARYE DOROGI; 117 ;  61 ;123 ;45  ; 117 ; 3602 ;123456789;117; 5061 ;1 3 ;28.09.08; Пралетарская 31      ; палац культуры, мачта                                ; 53.040310; 28.264910;G
$;V;R  ;MIO; Любань              ; LYUBAN'     ; 117 ;  62 ;123 ;    ; 117 ; 3599 ;123456   ;117; 5062 ;1   ;01.06.15; Першамайская 24А     ; райвыканкам, мачта                                   ; 52.791869; 28.002167;G
